id,name,site_type,priority_tier,neighborhood,address,lat,lon,phone,alt_phone,open_24h,mon,tue,wed,thu,fri,sat,sun,walk_in,walk_in_cutoff,meds_in_hand,starter_pack_days,certainty,typical_wait_min,priority_triage,accepts_hsn,financial_navigator_onsite,est_cost_uninsured,accepts_masshealth,est_cost_masshealth,serves_minors_without_parent,min_age,max_age,must_be_existing_patient,community,pharmacy_onsite,languages,app_notes,data_origin,is_demo_data,last_verified
11,"Boston STD Clinic (BMC, 9th floor)",sexual_health_clinic,2,South End,"725 Albany St 9th Fl, Boston MA 02118",42.3350945,-71.0727384,617-414-2803,,no,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,closed,closed,walk_in_ok,15:00,starter_pack,7,0.8,50,general_queue,yes,"yes, same visit",0,yes,0,yes,,,no,,yes,English;Spanish;Haitian Creole,Inside BMC campus; ER in same complex as fallback.,synthetic_demo,TRUE,
12,Planned Parenthood Greater Boston,sexual_health_clinic,2,Allston/Brighton,"1055 Commonwealth Ave, Boston MA 02215",42.3525745,-71.1228908,617-295-7235,,no,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,07:30-15:00,07:30-15:00,closed,appointment_only,,prescription_only,,0.6,60,general_queue,no,"yes, separate appointment",50,yes,0,yes,,,no,,no,English;Spanish,Appointment only: first opening may fall outside the 72h window.,synthetic_demo,TRUE,
13,Upham's Corner Health Center,community_health_center,3,Dorchester,"636 Columbia Rd, Boston MA 02125",42.3183325,-71.0639735,866-332-0940,,no,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,09:00-14:00,walk_in_ok,16:00,starter_pack,7,0.75,65,general_queue,yes,"yes, same visit",0,yes,0,yes,,,yes,,no,English;Spanish;Cape Verdean Creole;Haitian Creole,Site mentions PEP and PrEP access. Walk-in urgent care on ground floor; may require being a patient.,synthetic_demo,TRUE,
14,East Boston Neighborhood Health Center,community_health_center,3,East Boston,"10 Gove St, East Boston MA 02128",,,,,no,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-17:00,walk_in_ok,19:00,starter_pack,7,0.75,60,general_queue,yes,"yes, same visit",0,yes,0,yes,,,no,,yes,English;Spanish;Portuguese;Arabic,Has satellite emergency facility with extended hours. Phone and coordinates pending.,synthetic_demo,TRUE,
15,Whittier Street Health Center,community_health_center,3,Roxbury,"1290 Tremont St, Roxbury MA 02120",42.3329447,-71.0918706,617-427-1000,,no,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,09:00-17:00,closed,walk_in_ok,19:00,starter_pack,7,0.8,70,general_queue,yes,"yes, same visit",0,yes,0,yes,,,no,,yes,English;Spanish;Cape Verdean Creole,In-house pharmacy: prescription and medication in one trip.,synthetic_demo,TRUE,
16,Codman Square Health Center,community_health_center,3,Dorchester,"637 Washington St, Dorchester MA 02124",42.2890289,-71.0713688,617-825-9660,,no,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,08:30-17:00,09:00-13:00,closed,walk_in_ok,19:00,prescription_only,,0.6,75,general_queue,yes,"yes, same visit",0,yes,0,yes,,,no,,no,English;Spanish;Haitian Creole,Useful weekday evening hours.,synthetic_demo,TRUE,
17,The Dimock Center,community_health_center,3,Roxbury,"45 Dimock St, Roxbury MA 02119",42.3202185,-71.0972273,617-442-8800,,no,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,same_day_appointment,16:00,varies_unknown,,0.55,70,general_queue,yes,"yes, same visit",0,yes,0,yes,,,yes,,no,English;Spanish;Haitian Creole,Open 7 days: only CHC with weekend coverage.,synthetic_demo,TRUE,
18,Bowdoin Street Health Center,community_health_center,3,Dorchester,"230 Bowdoin St, Dorchester MA 02122",42.3058851,-71.0678491,617-754-0100,,no,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-17:00,closed,closed,same_day_appointment,17:30,prescription_only,,0.55,65,general_queue,yes,"yes, same visit",0,yes,0,yes,,,yes,,no,English;Spanish;Cape Verdean Creole,,synthetic_demo,TRUE,
19,CVS - 587 Boylston St (24h),pharmacy,4,Back Bay,"587 Boylston St, Boston MA 02116",42.3505234,-71.076963,617-437-8414,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,varies_unknown,28,0.5,25,general_queue,no,no,700,yes,0,unknown,,,no,,yes,English;Spanish,"Open 24h, but whether the on-duty pharmacist prescribes PEP is NOT confirmed. High out-of-pocket cost.",synthetic_demo,TRUE,
20,CVS - 155 Charles St (24h),pharmacy,4,Beacon Hill,"155-157 Charles St, Boston MA 02114",42.3606462,-71.070535,617-523-1028,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,varies_unknown,28,0.5,25,general_queue,no,no,700,yes,0,unknown,,,no,,yes,English,Same caveat as above.,synthetic_demo,TRUE,
21,Fenway Pharmacy,pharmacy,4,Fenway,"1340 Boylston St, Boston MA 02215",42.3440746,-71.0989723,,,no,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,closed,closed,walk_in_ok,18:00,full_28_day_course,28,0.85,20,general_queue,no,"yes, same visit",0,yes,0,yes,,,yes,,yes,English;Spanish,Same building as the clinic: router should treat them as one destination.,synthetic_demo,TRUE,
22,Whittier Street - in-house pharmacy,pharmacy,4,Roxbury,"1290 Tremont St, Roxbury MA 02120",42.3329447,-71.0918706,,,no,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,closed,closed,walk_in_ok,17:30,full_28_day_course,28,0.8,20,general_queue,no,"yes, same visit",0,yes,0,yes,,,yes,,yes,English;Spanish,Same clinic+pharmacy pairing as Fenway.,synthetic_demo,TRUE,
23,MIT Health (urgent care),university_health,3,Cambridge,"25 Carleton St, Cambridge MA 02142",42.3611882,-71.0866176,617-253-4481,,no,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,10:00-16:00,10:00-16:00,walk_in_ok,19:00,starter_pack,7,0.85,40,priority,no,no,0,yes,0,yes,,,yes,mit,yes,English;Spanish;Chinese,MIT community only. Refers to an ER after hours. Billing to student plan may be visible to parents.,synthetic_demo,TRUE,
24,Harvard University Health Services,university_health,3,Cambridge,"75 Mt Auburn St, Cambridge MA 02138",42.3722674,-71.1187497,617-495-5711,,no,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,closed,closed,same_day_appointment,16:30,starter_pack,7,0.8,45,general_queue,no,no,0,yes,0,yes,,,yes,harvard,yes,English;Spanish,Harvard community only. Same confidentiality caveat.,synthetic_demo,TRUE,
